source_id,categories,name,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrates,dietary_fiber,sugars,protein
10331,Entrées,3 ct Chick-fil-A Chick-n-Strips®,136,310,14,2.5,0,75,870,16,0,2,29
10333,Entrées,4 ct Chick-fil-A Chick-n-Strips®,181,410,19,3.5,0,100,1150,22,0,2,39
10220,Entrées,10 ct Chick-fil-A Chick-n-Strips®,452,1020,46,9,0,250,2870,54,0,6,96
616,Entrées | Catering Entrées,Chick-fil-A® Nuggets,113,250,11,2.5,0,85,1210,11,0,1,27
10318,Entrées | Catering Entrées,8 ct Chick-fil-A® Nuggets,113,250,11,2.5,0,85,1210,11,0,1,27
10320,Entrées | Catering Entrées,12 ct Chick-fil-A® Nuggets,170,380,17,3.5,0,125,1820,16,0,1,40
10271,Entrées,30 ct Chick-fil-A® Nuggets,425,950,43,9,0,315,4550,41,0,4,100
10322,Entrées,Grilled Nuggets,95,130,3,0.5,0,85,440,1,0,1,25
10324,Entrées,8 ct Grilled Nuggets,95,130,3,0.5,0,85,440,1,0,1,25
10325,Entrées,12 ct Grilled Nuggets,142,200,4.5,1,0,130,660,2,0,1,38
10275,Entrées,30 ct Grilled Nuggets,369,510,11,3,0,335,1710,4,1,3,98
10290,Entrées,Chick-fil-A® Deluxe Sandwich,247,490,22,6,0,85,1700,43,1,7,32
10292,Entrées,Chick-fil-A® Deluxe Sandwich w/ American,247,490,22,6,0,85,1700,43,1,7,32
10293,Entrées,Chick-fil-A® Deluxe Sandwich w/ Colby Jack,254,510,24,8,0,90,1610,43,1,7,34
10294,Entrées,Chick-fil-A® Deluxe Sandwich w/ Pepper Jack,254,520,24,8,0,90,1610,43,1,7,35
10295,Entrées,Chick-fil-A® Deluxe Sandwich w/ No Cheese,233,430,18,3.5,0,70,1470,43,1,7,29
10296,Entrées | Catering Entrées,Spicy Chicken Sandwich,188,450,19,4,0,65,1730,45,1,6,28
10305,Entrées,Grilled Chicken Sandwich,206,390,11,2.5,0,75,765,45,3,11,28
10307,Entrées,Chick-fil-A® Grilled Chicken Club Sandwich,237,520,22,8,0,105,1055,45,3,12,37
10309,Entrées,Grilled Chicken Club w/ Colby Jack,237,520,22,8,0,105,1055,45,3,12,37
10310,Entrées,Grilled Chicken Club w/ American,230,490,19,6,0,100,1145,45,3,12,34
10312,Entrées,Grilled Chicken Club w/ Pepper Jack,237,520,22,8,0,105,1045,45,3,12,37
10314,Entrées,Grilled Chicken Club w/ No Cheese,216,440,15,4,0,85,905,45,3,11,31
10335,Entrées,Chick-fil-A Cool Wrap®,231,660,45,9,0,110,1420,32,14,5,43
39841,Entrées | Catering Entrées,Chick-fil-A® Chicken Sandwich,183,420,18,3.5,0,70,1460,41,1,6,29
47580,Entrées,Honey Pepper Pimento Sandwich w/ Chick-fil-A® Filet,232,600,30,9,0,100,1680,53,1,16,34
47586,Entrées,Honey Pepper Pimento Sandwich w/ Spicy Filet,237,620,31,9,0,95,1950,56,2,16,33
